['Miami_Dolphins', '7', '7', '10', '3', nan, '27', 'Detroit_Lions', '10', '0', '0', '0', nan, '10']
['Tampa_Bay_Buccaneers', '7', '3', '0', '0', nan, '10', 'Dallas_Cowboys', '7', '14', '14', '3', nan, '38']
['Denver_Broncos', '0', '3', '7', '0', nan, '10', 'Kansas_City_Chiefs', '3', '7', '3', '6', nan, '19']
['Pittsburgh_Steelers', '0', '0', '0', '0', nan, '0', 'Baltimore_Ravens', '7', '10', '7', '3', nan, '27']
['San_Francisco_49ers', '0', '7', '7', '3', nan, '17', 'St._Louis_Rams', '0', '13', '0', '7', nan, '20']
['Houston_Texans', '0', '3', '0', '8', nan, '11', 'New_York_Jets', '3', '6', '14', '3', nan, '26']
['Jacksonville_Jaguars', '0', '14', '0', '10', nan, '24', 'Buffalo_Bills', '7', '10', '7', '3', nan, '27']
['Carolina_Panthers', '3', '3', '0', '7', nan, '13', 'Washington_Redskins', '0', '3', '7', '7', nan, '17']
['Cincinnati_Bengals', '7', '10', '6', '7', nan, '30', 'Cleveland_Browns', '0', '0', '0', '0', nan, '0']
['Arizona_Cardinals', '7', '6', '0', '13', nan, '26', 'Minnesota_Vikings', '7', '7', '10', '7', nan, '31']
['New_Orleans_Saints', '14', '7', '0', '10', nan, '31', 'Atlanta_Falcons', '3', '3', '7', '0', nan, '13']
['Oakland_Raiders', '0', '7', '7', '0', nan, '14', 'San_Diego_Chargers', '0', '7', '0', '14', nan, '21']
['New_York_Giants', '7', '14', '0', '0', nan, '21', 'Tennessee_Titans', '0', '0', '0', '24', nan, '24']
['Chicago_Bears', '0', '3', '0', '10', nan, '13', 'New_England_Patriots', '0', '10', '0', '7', nan, '17']
['Philadelphia_Eagles', '0', '7', '7', '7', nan, '21', 'Indianapolis_Colts', '7', '17', '7', '14', nan, '45']
['Green_Bay_Packers', '7', '7', '7', '3', nan, '24', 'Seattle_Seahawks', '3', '9', '7', '15', nan, '34']
['Baltimore_Ravens', '0', '0', '0', '7', nan, '7', 'Cincinnati_Bengals', '0', '6', '7', '0', nan, '13']
['Detroit_Lions', '0', '10', '8', '3', nan, '21', 'New_England_Patriots', '3', '10', '0', '15', nan, '28']
['New_York_Jets', '10', '21', '0', '7', nan, '38', 'Green_Bay_Packers', '0', '0', '10', '0', nan, '10']
['San_Diego_Chargers', '10', '7', '0', '7', nan, '24', 'Buffalo_Bills', '0', '0', '14', '7', nan, '21']
['Arizona_Cardinals', '7', '10', '7', '10', nan, '34', 'St._Louis_Rams', '3', '0', '7', '10', nan, '20']
['Indianapolis_Colts', '7', '7', '0', '3', nan, '17', 'Tennessee_Titans', '0', '10', '0', '10', nan, '20']
['Kansas_City_Chiefs', '0', '14', '7', '7', '0', '28', 'Cleveland_Browns', '7', '7', '0', '14', '3', '31']
['Minnesota_Vikings', '0', '3', '3', '7', nan, '13', 'Chicago_Bears', '0', '7', '14', '2', nan, '23']
['Atlanta_Falcons', '0', '10', '7', '7', nan, '24', 'Washington_Redskins', '14', '0', '0', '0', nan, '14']
['San_Francisco_49ers', '3', '0', '7', '0', nan, '10', 'New_Orleans_Saints', '0', '14', '10', '10', nan, '34']
['Houston_Texans', '7', '0', '7', '9', nan, '23', 'Oakland_Raiders', '0', '14', '0', '0', nan, '14']
['Jacksonville_Jaguars', '3', '14', '0', '7', nan, '24', 'Miami_Dolphins', '7', '0', '0', '3', nan, '10']
['Tampa_Bay_Buccaneers', '0', '0', '0', '3', nan, '3', 'Pittsburgh_Steelers', '7', '3', '0', '10', nan, '20']
['Dallas_Cowboys', '7', '3', '3', '10', nan, '23', 'New_York_Giants', '7', '0', '3', '10', nan, '20']
['Seattle_Seahawks', '0', '7', '0', '16', nan, '23', 'Denver_Broncos', '3', '10', '0', '7', nan, '20']
['Carolina_Panthers', '7', '7', '7', '3', nan, '24', 'Philadelphia_Eagles', '0', '7', '7', '13', nan, '27']
['Cleveland_Browns', '0', '0', '0', '7', nan, '7', 'Pittsburgh_Steelers', '7', '3', '14', '3', nan, '27']
['Baltimore_Ravens', '3', '3', '7', '7', nan, '20', 'Kansas_City_Chiefs', '0', '0', '3', '7', nan, '10']
