['New_Orleans_Saints', '0', '10', '0', '0', nan, '10', 'Indianapolis_Colts', '7', '3', '14', '17', nan, '41']
['Carolina_Panthers', '7', '0', '7', '13', nan, '27', 'St._Louis_Rams', '7', '3', '3', '0', nan, '13']
['Atlanta_Falcons', '0', '0', '0', '3', nan, '3', 'Minnesota_Vikings', '7', '0', '3', '14', nan, '24']
['Philadelphia_Eagles', '0', '10', '3', '0', nan, '13', 'Green_Bay_Packers', '10', '0', '3', '3', nan, '16']
['Denver_Broncos', '3', '3', '6', '3', nan, '15', 'Buffalo_Bills', '7', '0', '7', '0', nan, '14']
['Miami_Dolphins', '0', '7', '3', '3', '0', '13', 'Washington_Redskins', '0', '3', '7', '3', '3', '16']
['New_England_Patriots', '7', '7', '14', '10', nan, '38', 'New_York_Jets', '0', '7', '7', '0', nan, '14']
['Pittsburgh_Steelers', '17', '0', '14', '3', nan, '34', 'Cleveland_Browns', '0', '0', '7', '0', nan, '7']
['Tennessee_Titans', '3', '3', '7', '0', nan, '13', 'Jacksonville_Jaguars', '7', '3', '0', '0', nan, '10']
['Kansas_City_Chiefs', '0', '0', '3', '0', nan, '3', 'Houston_Texans', '0', '10', '7', '3', nan, '20']
['Tampa_Bay_Buccaneers', '6', '0', '0', '0', nan, '6', 'Seattle_Seahawks', '0', '10', '0', '10', nan, '20']
['Chicago_Bears', '0', '3', '0', '0', nan, '3', 'San_Diego_Chargers', '0', '0', '7', '7', nan, '14']
['Detroit_Lions', '0', '10', '7', '19', nan, '36', 'Oakland_Raiders', '0', '0', '14', '7', nan, '21']
['New_York_Giants', '6', '10', '3', '16', nan, '35', 'Dallas_Cowboys', '3', '14', '14', '14', nan, '45']
['Baltimore_Ravens', '0', '10', '0', '10', nan, '20', 'Cincinnati_Bengals', '9', '3', '7', '8', nan, '27']
['Arizona_Cardinals', '0', '10', '0', '7', nan, '17', 'San_Francisco_49ers', '7', '3', '3', '7', nan, '20']
['San_Francisco_49ers', '0', '7', '7', '3', nan, '17', 'St._Louis_Rams', '7', '6', '0', '3', nan, '16']
['Buffalo_Bills', '0', '0', '3', '0', nan, '3', 'Pittsburgh_Steelers', '3', '9', '7', '7', nan, '26']
['Indianapolis_Colts', '6', '10', '6', '0', nan, '22', 'Tennessee_Titans', '3', '3', '7', '7', nan, '20']
['Houston_Texans', '7', '10', '14', '3', nan, '34', 'Carolina_Panthers', '14', '0', '0', '7', nan, '21']
['Cincinnati_Bengals', '7', '14', '17', '7', nan, '45', 'Cleveland_Browns', '6', '21', '14', '10', nan, '51']
['New_Orleans_Saints', '0', '0', '7', '7', nan, '14', 'Tampa_Bay_Buccaneers', '7', '14', '7', '3', nan, '31']
['Green_Bay_Packers', '0', '7', '7', '21', nan, '35', 'New_York_Giants', '0', '10', '3', '0', nan, '13']
['Atlanta_Falcons', '0', '7', '0', '0', nan, '7', 'Jacksonville_Jaguars', '0', '3', '0', '10', nan, '13']
