['Washington_Redskins', '0', '7', '0', '0', nan, '7', 'New_York_Giants', '10', '6', '0', '0', nan, '16']
['Houston_Texans', '0', '3', '0', '14', nan, '17', 'Pittsburgh_Steelers', '7', '14', '14', '3', nan, '38']
['St._Louis_Rams', '0', '0', '0', '3', nan, '3', 'Philadelphia_Eagles', '14', '7', '10', '7', nan, '38']
['Kansas_City_Chiefs', '0', '3', '0', '7', nan, '10', 'New_England_Patriots', '0', '7', '7', '3', nan, '17']
['Tampa_Bay_Buccaneers', '7', '3', '3', '7', nan, '20', 'New_Orleans_Saints', '7', '0', '10', '7', nan, '24']
['New_York_Jets', '7', '6', '7', '0', nan, '20', 'Miami_Dolphins', '0', '7', '0', '7', nan, '14']
['Seattle_Seahawks', '0', '7', '3', '0', nan, '10', 'Buffalo_Bills', '7', '13', '14', '0', nan, '34']
['Detroit_Lions', '0', '14', '7', '0', nan, '21', 'Atlanta_Falcons', '21', '0', '10', '3', nan, '34']
['Jacksonville_Jaguars', '0', '7', '0', '3', nan, '10', 'Tennessee_Titans', '3', '7', '0', '7', nan, '17']
['Cincinnati_Bengals', '0', '3', '0', '7', nan, '10', 'Baltimore_Ravens', '7', '3', '7', '0', nan, '17']
['Carolina_Panthers', '0', '9', '7', '10', nan, '26', 'San_Diego_Chargers', '0', '7', '3', '14', nan, '24']
['Dallas_Cowboys', '7', '14', '7', '0', nan, '28', 'Cleveland_Browns', '0', '7', '0', '3', nan, '10']
['Arizona_Cardinals', '3', '7', '10', '3', nan, '23', 'San_Francisco_49ers', '7', '3', '0', '3', nan, '13']
['Chicago_Bears', '7', '8', '7', '7', nan, '29', 'Indianapolis_Colts', '3', '3', '7', '0', nan, '13']
['Minnesota_Vikings', '0', '3', '3', '13', nan, '19', 'Green_Bay_Packers', '0', '10', '7', '7', nan, '24']
['Denver_Broncos', '7', '10', '10', '14', nan, '41', 'Oakland_Raiders', '0', '0', '0', '14', nan, '14']
['New_York_Giants', '7', '6', '7', '21', nan, '41', 'St._Louis_Rams', '0', '6', '0', '7', nan, '13']
['Oakland_Raiders', '6', '0', '7', '10', nan, '23', 'Kansas_City_Chiefs', '0', '0', '0', '8', nan, '8']
['Tennessee_Titans', '0', '14', '3', '7', nan, '24', 'Cincinnati_Bengals', '0', '7', '0', '0', nan, '7']
['Buffalo_Bills', '7', '3', '0', '10', nan, '20', 'Jacksonville_Jaguars', '0', '3', '10', '3', nan, '16']
['Green_Bay_Packers', '7', '14', '3', '24', nan, '48', 'Detroit_Lions', '0', '3', '6', '16', nan, '25']
['Chicago_Bears', '7', '3', '7', '0', nan, '17', 'Carolina_Panthers', '0', '3', '10', '7', nan, '20']
['New_Orleans_Saints', '0', '10', '14', '0', nan, '24', 'Washington_Redskins', '3', '6', '6', '14', nan, '29']
['Indianapolis_Colts', '0', '0', '7', '11', nan, '18', 'Minnesota_Vikings', '6', '3', '6', '0', nan, '15']
['Atlanta_Falcons', '0', '3', '3', '3', nan, '9', 'Tampa_Bay_Buccaneers', '7', '10', '0', '7', nan, '24']
['San_Francisco_49ers', '3', '10', '14', '3', '3', '33', 'Seattle_Seahawks', '14', '6', '0', '10', '0', '30']
['New_England_Patriots', '3', '3', '10', '3', nan, '19', 'New_York_Jets', '0', '3', '0', '7', nan, '10']
