['Carolina_Panthers', '0', '7', '14', '7', nan, '28', 'Tampa_Bay_Buccaneers', '7', '0', '7', '7', nan, '21']
['Cleveland_Browns', '0', '7', '7', '0', nan, '14', 'Pittsburgh_Steelers', '0', '17', '7', '3', nan, '27']
['Detroit_Lions', '0', '0', '0', '0', nan, '0', 'Green_Bay_Packers', '14', '9', '3', '0', nan, '26']
['Houston_Texans', '7', '7', '14', '0', nan, '28', 'Cincinnati_Bengals', '0', '17', '0', '0', nan, '17']
['Kansas_City_Chiefs', '0', '3', '3', '8', nan, '14', 'Washington_Redskins', '0', '0', '6', '0', nan, '6']
['New_York_Giants', '3', '14', '0', '10', nan, '27', 'New_Orleans_Saints', '14', '20', '7', '7', nan, '48']
['St._Louis_Rams', '7', '3', '0', '10', '0', '20', 'Jacksonville_Jaguars', '6', '0', '0', '14', '3', '23']
['Baltimore_Ravens', '0', '3', '7', '21', nan, '31', 'Minnesota_Vikings', '14', '0', '6', '13', nan, '33']
['Arizona_Cardinals', '14', '3', '7', '3', nan, '27', 'Seattle_Seahawks', '0', '3', '0', '0', nan, '3']
['Philadelphia_Eagles', '3', '3', '0', '3', nan, '9', 'Oakland_Raiders', '7', '3', '0', '3', nan, '13']
['Buffalo_Bills', '3', '0', '10', '0', '3', '16', 'New_York_Jets', '3', '10', '0', '0', '0', '13']
['Tennessee_Titans', '0', '0', '0', '0', nan, '0', 'New_England_Patriots', '10', '35', '14', '0', nan, '59']
['Chicago_Bears', '0', '7', '0', '7', nan, '14', 'Atlanta_Falcons', '0', '14', '0', '7', nan, '21']
['Denver_Broncos', '7', '10', '7', '10', nan, '34', 'San_Diego_Chargers', '10', '10', '3', '0', nan, '23']
['Indianapolis_Colts', '14', '7', '7', '14', nan, '42', 'St._Louis_Rams', '3', '0', '3', '0', nan, '6']
['San_Diego_Chargers', '14', '6', '7', '10', nan, '37', 'Kansas_City_Chiefs', '0', '0', '7', '0', nan, '7']
['Green_Bay_Packers', '0', '21', '3', '7', nan, '31', 'Cleveland_Browns', '0', '3', '0', '0', nan, '3']
['Minnesota_Vikings', '0', '7', '3', '7', nan, '17', 'Pittsburgh_Steelers', '3', '7', '3', '14', nan, '27']
['San_Francisco_49ers', '0', '0', '7', '14', nan, '21', 'Houston_Texans', '7', '14', '0', '3', nan, '24']
['New_England_Patriots', '14', '7', '7', '7', nan, '35', 'Tampa_Bay_Buccaneers', '0', '7', '0', '0', nan, '7']
['New_York_Jets', '14', '10', '7', '7', nan, '38', 'Oakland_Raiders', '0', '0', '0', '0', nan, '0']
['Buffalo_Bills', '7', '0', '0', '13', nan, '20', 'Carolina_Panthers', '0', '2', '0', '7', nan, '9']
