['Kansas_City_Chiefs', '0', '3', '7', '10', nan, '20', 'Oakland_Raiders', '7', '7', '3', '7', nan, '24']
['Tennessee_Titans', '0', '17', '0', '7', nan, '24', 'Philadelphia_Eagles', '17', '10', '7', '9', nan, '43']
['Detroit_Lions', '3', '3', '0', '3', nan, '9', 'New_England_Patriots', '7', '17', '3', '7', nan, '34']
['Cincinnati_Bengals', '7', '2', '7', '6', nan, '22', 'Houston_Texans', '0', '3', '10', '0', nan, '13']
['Jacksonville_Jaguars', '3', '0', '0', '0', nan, '3', 'Indianapolis_Colts', '3', '3', '14', '3', nan, '23']
['Tampa_Bay_Buccaneers', '0', '10', '0', '3', nan, '13', 'Chicago_Bears', '0', '0', '21', '0', nan, '21']
['Cleveland_Browns', '7', '6', '10', '3', nan, '26', 'Atlanta_Falcons', '7', '7', '0', '10', nan, '24']
['Green_Bay_Packers', '7', '7', '3', '7', nan, '24', 'Minnesota_Vikings', '0', '10', '3', '8', nan, '21']
['St._Louis_Rams', '3', '7', '7', '7', nan, '24', 'San_Diego_Chargers', '3', '3', '14', '7', nan, '27']
['Arizona_Cardinals', '0', '3', '0', '0', nan, '3', 'Seattle_Seahawks', '3', '6', '10', '0', nan, '19']
['Washington_Redskins', '0', '7', '3', '3', nan, '13', 'San_Francisco_49ers', '7', '3', '0', '7', nan, '17']
['Miami_Dolphins', '7', '14', '7', '8', nan, '36', 'Denver_Broncos', '3', '14', '0', '22', nan, '39']
['Dallas_Cowboys', '3', '7', '14', '7', nan, '31', 'New_York_Giants', '7', '14', '0', '7', nan, '28']
['New_York_Jets', '3', '0', '0', '0', nan, '3', 'Buffalo_Bills', '7', '7', '17', '7', nan, '38']
['Baltimore_Ravens', '7', '7', '10', '10', nan, '34', 'New_Orleans_Saints', '7', '10', '0', '10', nan, '27']
['Chicago_Bears', '14', '0', '3', '0', nan, '17', 'Detroit_Lions', '3', '21', '0', '10', nan, '34']
['Philadelphia_Eagles', '14', '9', '7', '3', nan, '33', 'Dallas_Cowboys', '0', '7', '3', '0', nan, '10']
['Seattle_Seahawks', '7', '6', '3', '3', nan, '19', 'San_Francisco_49ers', '0', '0', '3', '0', nan, '3']
['Oakland_Raiders', '0', '0', '0', '0', nan, '0', 'St._Louis_Rams', '21', '17', '0', '14', nan, '52']
['New_Orleans_Saints', '0', '14', '14', '7', nan, '35', 'Pittsburgh_Steelers', '3', '3', '7', '19', nan, '32']
['Carolina_Panthers', '3', '3', '7', '0', nan, '13', 'Minnesota_Vikings', '14', '14', '0', '3', nan, '31']
['Tennessee_Titans', '0', '0', '14', '7', nan, '21', 'Houston_Texans', '14', '10', '7', '14', nan, '45']
['Washington_Redskins', '3', '7', '14', '3', nan, '27', 'Indianapolis_Colts', '7', '14', '21', '7', nan, '49']
['Cleveland_Browns', '3', '0', '0', '7', nan, '10', 'Buffalo_Bills', '0', '0', '14', '12', nan, '26']
['Cincinnati_Bengals', '0', '7', '7', '0', nan, '14', 'Tampa_Bay_Buccaneers', '3', '7', '0', '3', nan, '13']
['San_Diego_Chargers', '7', '3', '3', '21', nan, '34', 'Baltimore_Ravens', '10', '6', '7', '10', nan, '33']
['New_York_Giants', '0', '21', '0', '3', nan, '24', 'Jacksonville_Jaguars', '0', '3', '13', '9', nan, '25']
['Arizona_Cardinals', '0', '10', '0', '8', nan, '18', 'Atlanta_Falcons', '17', '3', '3', '6', nan, '29']
['New_England_Patriots', '0', '14', '0', '7', nan, '21', 'Green_Bay_Packers', '13', '10', '0', '3', nan, '26']
['Denver_Broncos', '14', '6', '3', '6', nan, '29', 'Kansas_City_Chiefs', '0', '7', '3', '6', nan, '16']
['Miami_Dolphins', '0', '3', '3', '10', nan, '16', 'New_York_Jets', '7', '3', '3', '0', nan, '13']
['Dallas_Cowboys', '0', '14', '21', '6', nan, '41', 'Chicago_Bears', '0', '7', '0', '21', nan, '28']
