['Philadelphia_Eagles', '0', '7', '0', '7', nan, '14', 'Detroit_Lions', '7', '17', '14', '7', nan, '45']
['Carolina_Panthers', '10', '13', '7', '3', nan, '33', 'Dallas_Cowboys', '3', '0', '3', '8', nan, '14']
['Chicago_Bears', '0', '14', '0', '3', nan, '17', 'Green_Bay_Packers', '7', '6', '0', '0', nan, '13']
['Oakland_Raiders', '7', '3', '7', '7', nan, '24', 'Tennessee_Titans', '6', '0', '8', '7', nan, '21']
['Miami_Dolphins', '0', '0', '7', '13', nan, '20', 'New_York_Jets', '7', '7', '7', '17', nan, '38']
['New_Orleans_Saints', '0', '6', '0', '0', nan, '6', 'Houston_Texans', '14', '0', '10', '0', nan, '24']
['Tampa_Bay_Buccaneers', '3', '9', '0', '0', nan, '12', 'Indianapolis_Colts', '3', '3', '13', '6', nan, '25']
['St._Louis_Rams', '0', '7', '0', '0', nan, '7', 'Cincinnati_Bengals', '7', '10', '14', '0', nan, '31']
['Minnesota_Vikings', '7', '0', '3', '10', nan, '20', 'Atlanta_Falcons', '0', '3', '0', '7', nan, '10']
['Buffalo_Bills', '10', '6', '6', '0', nan, '22', 'Kansas_City_Chiefs', '0', '14', '10', '6', nan, '30']
['San_Diego_Chargers', '0', '21', '3', '7', nan, '31', 'Jacksonville_Jaguars', '6', '3', '3', '13', nan, '25']
['New_York_Giants', '0', '0', '0', '14', nan, '14', 'Washington_Redskins', '0', '17', '0', '3', nan, '20']
['Arizona_Cardinals', '3', '3', '7', '6', nan, '19', 'San_Francisco_49ers', '0', '3', '10', '0', nan, '13']
['Pittsburgh_Steelers', '3', '15', '3', '9', nan, '30', 'Seattle_Seahawks', '0', '14', '6', '19', nan, '39']
['New_England_Patriots', '7', '7', '0', '10', '0', '24', 'Denver_Broncos', '0', '7', '0', '17', '6', '30']
['Baltimore_Ravens', '10', '7', '7', '9', nan, '33', 'Cleveland_Browns', '0', '13', '7', '7', nan, '27']
['Green_Bay_Packers', '0', '0', '14', '13', nan, '27', 'Detroit_Lions', '17', '0', '3', '3', nan, '23']
['Arizona_Cardinals', '7', '3', '14', '3', nan, '27', 'St._Louis_Rams', '0', '0', '3', '0', nan, '3']
['Jacksonville_Jaguars', '0', '12', '7', '20', nan, '39', 'Tennessee_Titans', '7', '14', '0', '21', nan, '42']
['Seattle_Seahawks', '7', '14', '14', '3', nan, '38', 'Minnesota_Vikings', '0', '0', '7', '0', nan, '7']
['San_Francisco_49ers', '6', '7', '0', '7', '6', '26', 'Chicago_Bears', '6', '7', '0', '7', '0', '20']
['Houston_Texans', '6', '7', '0', '8', nan, '21', 'Buffalo_Bills', '7', '14', '0', '9', nan, '30']
['New_York_Jets', '3', '7', '0', '10', '3', '23', 'New_York_Giants', '0', '20', '0', '0', '0', '20']
['Baltimore_Ravens', '0', '3', '7', '3', nan, '13', 'Miami_Dolphins', '0', '15', '0', '0', nan, '15']
['Cincinnati_Bengals', '7', '13', '14', '3', nan, '37', 'Cleveland_Browns', '0', '3', '0', '0', nan, '3']
['Atlanta_Falcons', '0', '9', '3', '7', nan, '19', 'Tampa_Bay_Buccaneers', '7', '0', '9', '7', nan, '23']
['Kansas_City_Chiefs', '7', '0', '7', '20', nan, '34', 'Oakland_Raiders', '7', '7', '6', '0', nan, '20']
['Denver_Broncos', '14', '3', '0', '0', nan, '17', 'San_Diego_Chargers', '0', '3', '0', '0', nan, '3']
['Philadelphia_Eagles', '0', '14', '14', '7', nan, '35', 'New_England_Patriots', '0', '14', '0', '14', nan, '28']
['Carolina_Panthers', '0', '13', '14', '14', nan, '41', 'New_Orleans_Saints', '14', '2', '8', '14', nan, '38']
['Indianapolis_Colts', '3', '7', '0', '0', nan, '10', 'Pittsburgh_Steelers', '6', '15', '7', '17', nan, '45']
