['22', '20', '18', '78', '0', '34', '121', '1', '26', '43', '320', '2', '2', '25', '35', '264', '2', '0', '4', '25', '5', '31', '295', '233', '373', '354', '1', '1', '2', '2', '3', '2', '6', '59', '9', '55', '1', '11', '7', '16', '0', '1', '0', '0', '24', '50', '35', '10']
['14', '14', '27', '67', '0', '31', '77', '1', '19', '36', '208', '0', '5', '18', '30', '184', '0', '1', '4', '11', '2', '13', '197', '171', '264', '248', '1', '1', '2', '1', '6', '2', '7', '63', '6', '40', '5', '14', '5', '15', '1', '3', '0', '0', '29', '07', '30', '53']
['20', '15', '28', '151', '0', '32', '158', '0', '22', '35', '278', '1', '1', '11', '21', '128', '0', '1', '3', '16', '3', '19', '262', '109', '413', '267', '0', '0', '0', '0', '1', '1', '2', '14', '0', '0', '9', '16', '5', '14', '0', '0', '0', '1', '31', '56', '28', '04']
['18', '13', '29', '94', '1', '20', '56', '1', '21', '37', '217', '1', '1', '19', '37', '188', '0', '2', '3', '7', '2', '19', '210', '169', '304', '225', '4', '2', '4', '0', '3', '2', '7', '53', '4', '35', '3', '14', '3', '13', '0', '2', '0', '0', '32', '48', '27', '12']
['16', '20', '43', '311', '3', '24', '83', '0', '9', '23', '136', '1', '0', '26', '45', '381', '3', '2', '1', '3', '1', '6', '133', '375', '444', '458', '1', '0', '2', '2', '0', '4', '2', '10', '4', '28', '5', '16', '6', '15', '0', '0', '0', '1', '31', '19', '28', '41']
['20', '13', '33', '96', '1', '15', '30', '0', '21', '34', '245', '0', '1', '20', '31', '274', '1', '0', '3', '24', '0', '0', '221', '274', '317', '304', '2', '2', '1', '1', '3', '1', '8', '49', '4', '25', '9', '16', '4', '11', '0', '0', '0', '0', '37', '37', '22', '23']
['23', '25', '24', '61', '0', '26', '244', '2', '30', '43', '341', '1', '1', '22', '34', '221', '2', '0', '2', '12', '1', '8', '329', '213', '390', '457', '2', '2', '3', '3', '3', '3', '8', '58', '3', '28', '2', '10', '5', '10', '2', '2', '2', '2', '30', '40', '29', '20']
['24', '24', '23', '110', '2', '35', '140', '2', '24', '43', '256', '2', '2', '18', '25', '245', '3', '0', '2', '10', '1', '1', '246', '244', '356', '384', '0', '0', '2', '1', '2', '1', '8', '90', '5', '32', '7', '14', '8', '12', '2', '2', '0', '0', '29', '38', '30', '22']
['14', '10', '30', '181', '1', '25', '96', '1', '20', '33', '206', '1', '0', '14', '26', '180', '0', '3', '2', '13', '2', '21', '193', '159', '374', '255', '0', '0', '4', '2', '0', '5', '9', '65', '11', '101', '6', '18', '5', '13', '0', '0', '0', '0', '31', '07', '28', '53']
['18', '18', '24', '43', '0', '32', '206', '4', '24', '37', '229', '1', '2', '14', '21', '156', '0', '1', '5', '27', '0', '0', '202', '156', '245', '362', '2', '1', '0', '0', '3', '1', '8', '68', '6', '40', '5', '14', '6', '12', '2', '3', '0', '0', '31', '12', '28', '48']
['28', '13', '29', '75', '1', '16', '99', '0', '31', '46', '388', '5', '0', '18', '29', '199', '2', '1', '3', '15', '2', '13', '373', '186', '448', '285', '3', '1', '1', '0', '1', '1', '5', '50', '12', '100', '11', '17', '4', '11', '2', '2', '0', '0', '38', '15', '21', '45']
['22', '25', '33', '121', '1', '21', '92', '0', '25', '36', '246', '2', '0', '26', '43', '362', '2', '1', '0', '0', '5', '29', '246', '333', '367', '425', '2', '1', '1', '1', '1', '2', '5', '37', '3', '11', '7', '14', '4', '12', '1', '1', '0', '3', '32', '44', '27', '16']
['28', '14', '35', '188', '2', '15', '103', '1', '27', '39', '303', '2', '2', '18', '39', '209', '0', '1', '1', '0', '4', '28', '303', '181', '491', '284', '1', '1', '0', '0', '3', '1', '6', '45', '3', '31', '6', '14', '3', '13', '1', '1', '0', '1', '39', '38', '20', '22']
['19', '10', '30', '84', '0', '28', '73', '2', '28', '42', '283', '3', '2', '12', '18', '95', '0', '1', '1', '3', '1', '8', '280', '87', '364', '160', '3', '1', '0', '0', '3', '1', '9', '75', '6', '53', '6', '16', '4', '12', '1', '2', '0', '0', '34', '42', '25', '18']
['23', '25', '22', '84', '0', '30', '179', '3', '22', '28', '369', '6', '1', '24', '37', '236', '0', '1', '1', '10', '3', '33', '359', '203', '443', '382', '0', '0', '1', '1', '1', '2', '5', '40', '4', '41', '3', '7', '4', '13', '0', '0', '3', '3', '24', '55', '35', '05']
['23', '18', '39', '155', '2', '12', '39', '0', '25', '42', '280', '0', '0', '27', '44', '313', '4', '3', '1', '13', '2', '19', '267', '294', '422', '333', '3', '2', '4', '3', '2', '6', '6', '45', '4', '37', '6', '17', '5', '12', '0', '0', '1', '1', '36', '43', '23', '17']
['15', '14', '24', '127', '1', '33', '103', '1', '21', '37', '191', '1', '0', '11', '21', '153', '0', '1', '1', '10', '2', '14', '181', '139', '308', '242', '2', '1', '0', '0', '1', '1', '11', '91', '3', '25', '5', '15', '3', '13', '2', '4', '0', '0', '28', '34', '31', '26']
