['San_Diego_Chargers', '0', '3', '7', '7', nan, '17', 'St._Louis_Rams', '10', '7', '0', '3', nan, '20']
['New_Orleans_Saints', '7', '10', '7', '7', nan, '31', 'Tampa_Bay_Buccaneers', '0', '0', '0', '6', nan, '6']
['Cleveland_Browns', '3', '0', '0', '7', nan, '10', 'Pittsburgh_Steelers', '0', '7', '7', '14', nan, '28']
['Atlanta_Falcons', '0', '7', '3', '7', nan, '17', 'Philadelphia_Eagles', '14', '7', '7', '3', nan, '31']
['Baltimore_Ravens', '3', '7', '7', '3', '0', '20', 'New_England_Patriots', '7', '0', '3', '10', '3', '23']
['Miami_Dolphins', '7', '3', '3', '7', '3', '23', 'Green_Bay_Packers', '10', '0', '0', '10', '0', '20']
['Seattle_Seahawks', '7', '7', '2', '7', nan, '23', 'Chicago_Bears', '7', '6', '0', '7', nan, '20']
['Detroit_Lions', '7', '3', '0', '10', nan, '20', 'New_York_Giants', '7', '7', '7', '7', nan, '28']
['Kansas_City_Chiefs', '7', '7', '10', '7', nan, '31', 'Houston_Texans', '0', '7', '7', '21', nan, '35']
['Oakland_Raiders', '3', '3', '0', '3', nan, '9', 'San_Francisco_49ers', '0', '3', '7', '7', nan, '17']
['New_York_Jets', '0', '7', '3', '14', nan, '24', 'Denver_Broncos', '0', '10', '7', '3', nan, '20']
['Dallas_Cowboys', '7', '7', '0', '7', nan, '21', 'Minnesota_Vikings', '7', '0', '14', '3', nan, '24']
['Indianapolis_Colts', '7', '10', '7', '3', nan, '27', 'Washington_Redskins', '7', '0', '10', '7', nan, '24']
['Tennessee_Titans', '7', '10', '3', '10', nan, '30', 'Jacksonville_Jaguars', '0', '0', '3', '0', nan, '3']
['St._Louis_Rams', '0', '17', '0', '0', nan, '17', 'Tampa_Bay_Buccaneers', '3', '3', '6', '6', nan, '18']
['Buffalo_Bills', '10', '14', '0', '10', '0', '34', 'Baltimore_Ravens', '3', '17', '14', '0', '3', '37']
['Philadelphia_Eagles', '0', '13', '3', '3', nan, '19', 'Tennessee_Titans', '0', '7', '3', '27', nan, '37']
['Cleveland_Browns', '10', '10', '0', '10', nan, '30', 'New_Orleans_Saints', '0', '3', '0', '14', nan, '17']
['Pittsburgh_Steelers', '0', '17', '3', '3', nan, '23', 'Miami_Dolphins', '6', '10', '3', '3', nan, '22']
['Jacksonville_Jaguars', '3', '10', '7', '0', nan, '20', 'Kansas_City_Chiefs', '7', '7', '14', '14', nan, '42']
['San_Francisco_49ers', '7', '3', '0', '10', nan, '20', 'Carolina_Panthers', '3', '7', '3', '10', nan, '23']
['Washington_Redskins', '7', '3', '7', '0', nan, '17', 'Chicago_Bears', '7', '7', '0', '0', nan, '14']
['Cincinnati_Bengals', '3', '0', '22', '7', nan, '32', 'Atlanta_Falcons', '7', '17', '0', '15', nan, '39']
