['Jacksonville_Jaguars', '0', '3', '7', '3', nan, '13', 'Pittsburgh_Steelers', '7', '10', '0', '0', nan, '17']
['Buffalo_Bills', '14', '3', '0', '7', nan, '24', 'New_York_Giants', '7', '10', '7', '3', nan, '27']
['St._Louis_Rams', '0', '3', '0', '0', nan, '3', 'Green_Bay_Packers', '3', '21', '0', '0', nan, '24']
['Indianapolis_Colts', '0', '7', '0', '10', nan, '17', 'Cincinnati_Bengals', '7', '3', '10', '7', nan, '27']
['Carolina_Panthers', '3', '7', '7', '0', nan, '17', 'Atlanta_Falcons', '7', '7', '0', '17', nan, '31']
['San_Francisco_49ers', '0', '12', '3', '10', nan, '25', 'Detroit_Lions', '10', '0', '3', '6', nan, '19']
['Philadelphia_Eagles', '7', '13', '0', '0', nan, '20', 'Washington_Redskins', '0', '3', '3', '7', nan, '13']
['Cleveland_Browns', '0', '7', '0', '10', nan, '17', 'Oakland_Raiders', '7', '7', '10', '0', nan, '24']
['Houston_Texans', '0', '7', '7', '0', nan, '14', 'Baltimore_Ravens', '7', '3', '6', '13', nan, '29']
['New_Orleans_Saints', '7', '3', '3', '7', nan, '20', 'Tampa_Bay_Buccaneers', '3', '17', '3', '3', nan, '26']
['Dallas_Cowboys', '3', '7', '3', '3', nan, '16', 'New_England_Patriots', '3', '10', '0', '7', nan, '20']
['Minnesota_Vikings', '0', '3', '7', '0', nan, '10', 'Chicago_Bears', '16', '10', '10', '3', nan, '39']
['Miami_Dolphins', '3', '3', '0', '0', nan, '6', 'New_York_Jets', '7', '7', '3', '7', nan, '24']
['Houston_Texans', '3', '17', '7', '14', nan, '41', 'Tennessee_Titans', '0', '0', '7', '0', nan, '7']
['Denver_Broncos', '0', '0', '0', '15', '3', '18', 'Miami_Dolphins', '0', '6', '0', '9', '0', '15']
['San_Diego_Chargers', '7', '14', '0', '0', nan, '21', 'New_York_Jets', '3', '7', '7', '10', nan, '27']
['Chicago_Bears', '7', '7', '7', '3', nan, '24', 'Tampa_Bay_Buccaneers', '2', '3', '0', '13', nan, '18']
['Atlanta_Falcons', '10', '7', '3', '3', nan, '23', 'Detroit_Lions', '3', '3', '10', '0', nan, '16']
