['Pittsburgh_Steelers', '10', '0', '3', '10', nan, '23', 'Tennessee_Titans', '6', '10', '0', '10', nan, '26']
['Kansas_City_Chiefs', '0', '3', '0', '7', nan, '10', 'Tampa_Bay_Buccaneers', '7', '0', '14', '17', nan, '38']
['St._Louis_Rams', '6', '0', '0', '8', nan, '14', 'Miami_Dolphins', '0', '10', '7', '0', nan, '17']
['Oakland_Raiders', '3', '10', '0', '7', nan, '20', 'Atlanta_Falcons', '0', '7', '6', '10', nan, '23']
['Dallas_Cowboys', '7', '3', '10', '9', nan, '29', 'Baltimore_Ravens', '3', '14', '7', '7', nan, '31']
['Indianapolis_Colts', '3', '3', '0', '3', nan, '9', 'New_York_Jets', '0', '21', '7', '7', nan, '35']
['Cincinnati_Bengals', '7', '7', '0', '10', nan, '24', 'Cleveland_Browns', '0', '7', '6', '21', nan, '34']
['Detroit_Lions', '6', '0', '0', '17', '3', '26', 'Philadelphia_Eagles', '0', '7', '6', '10', '0', '23']
['New_England_Patriots', '7', '10', '3', '3', nan, '23', 'Seattle_Seahawks', '10', '0', '0', '14', nan, '24']
['Buffalo_Bills', '9', '0', '7', '0', '3', '19', 'Arizona_Cardinals', '3', '7', '3', '3', '0', '16']
['New_York_Giants', '0', '10', '13', '3', nan, '26', 'San_Francisco_49ers', '3', '0', '0', '0', nan, '3']
['Minnesota_Vikings', '9', '0', '3', '14', nan, '26', 'Washington_Redskins', '0', '17', '7', '14', nan, '38']
['Green_Bay_Packers', '14', '7', '7', '14', nan, '42', 'Houston_Texans', '0', '10', '7', '7', nan, '24']
['Denver_Broncos', '0', '0', '14', '21', nan, '35', 'San_Diego_Chargers', '10', '14', '0', '0', nan, '24']
['Seattle_Seahawks', '3', '3', '0', '0', nan, '6', 'San_Francisco_49ers', '3', '0', '7', '3', nan, '13']
['Green_Bay_Packers', '10', '0', '7', '13', nan, '30', 'St._Louis_Rams', '3', '3', '0', '14', nan, '20']
['New_Orleans_Saints', '7', '21', '0', '7', nan, '35', 'Tampa_Bay_Buccaneers', '14', '7', '0', '7', nan, '28']
['Baltimore_Ravens', '3', '0', '7', '3', nan, '13', 'Houston_Texans', '9', '20', '7', '7', nan, '43']
['Cleveland_Browns', '0', '6', '7', '0', nan, '13', 'Indianapolis_Colts', '7', '7', '3', '0', nan, '17']
['Tennessee_Titans', '14', '7', '7', '7', nan, '35', 'Buffalo_Bills', '14', '6', '14', '0', nan, '34']
['Washington_Redskins', '3', '10', '0', '10', nan, '23', 'New_York_Giants', '0', '13', '0', '14', nan, '27']
['Dallas_Cowboys', '0', '3', '10', '6', nan, '19', 'Carolina_Panthers', '0', '7', '0', '7', nan, '14']
['Arizona_Cardinals', '0', '7', '0', '7', nan, '14', 'Minnesota_Vikings', '7', '7', '7', '0', nan, '21']
['Jacksonville_Jaguars', '7', '10', '3', '3', '0', '23', 'Oakland_Raiders', '3', '3', '7', '10', '3', '26']
['New_York_Jets', '7', '3', '3', '13', '0', '26', 'New_England_Patriots', '14', '2', '7', '3', '3', '29']
['Pittsburgh_Steelers', '3', '11', '3', '7', nan, '24', 'Cincinnati_Bengals', '7', '7', '3', '0', nan, '17']
['Detroit_Lions', '0', '0', '0', '7', nan, '7', 'Chicago_Bears', '10', '0', '3', '0', nan, '13']
['Tampa_Bay_Buccaneers', '10', '10', '10', '6', nan, '36', 'Minnesota_Vikings', '0', '10', '7', '0', nan, '17']
['Washington_Redskins', '0', '6', '3', '3', nan, '12', 'Pittsburgh_Steelers', '10', '10', '7', '0', nan, '27']
['Atlanta_Falcons', '14', '10', '3', '3', nan, '30', 'Philadelphia_Eagles', '0', '7', '3', '7', nan, '17']
