['Baltimore_Ravens', '7', '10', '0', '10', nan, '27', 'Denver_Broncos', '0', '14', '21', '14', nan, '49']
['Tennessee_Titans', '0', '7', '3', '6', nan, '16', 'Pittsburgh_Steelers', '2', '0', '0', '7', nan, '9']
['Minnesota_Vikings', '7', '7', '10', '0', nan, '24', 'Detroit_Lions', '3', '10', '14', '7', nan, '34']
['Oakland_Raiders', '0', '7', '3', '7', nan, '17', 'Indianapolis_Colts', '7', '7', '0', '7', nan, '21']
['Miami_Dolphins', '3', '3', '7', '10', nan, '23', 'Cleveland_Browns', '0', '7', '3', '0', nan, '10']
['Cincinnati_Bengals', '7', '7', '7', '0', nan, '21', 'Chicago_Bears', '7', '3', '7', '7', nan, '24']
['New_England_Patriots', '10', '7', '0', '6', nan, '23', 'Buffalo_Bills', '0', '14', '7', '0', nan, '21']
['Tampa_Bay_Buccaneers', '7', '7', '0', '3', nan, '17', 'New_York_Jets', '2', '10', '0', '6', nan, '18']
['Atlanta_Falcons', '10', '0', '7', '0', nan, '17', 'New_Orleans_Saints', '0', '13', '7', '3', nan, '23']
['Kansas_City_Chiefs', '14', '7', '0', '7', nan, '28', 'Jacksonville_Jaguars', '2', '0', '0', '0', nan, '2']
['Seattle_Seahawks', '0', '3', '3', '6', nan, '12', 'Carolina_Panthers', '0', '7', '0', '0', nan, '7']
['Arizona_Cardinals', '0', '10', '14', '0', nan, '24', 'St._Louis_Rams', '0', '10', '3', '14', nan, '27']
['Green_Bay_Packers', '7', '7', '7', '7', nan, '28', 'San_Francisco_49ers', '7', '7', '7', '13', nan, '34']
['New_York_Giants', '3', '7', '7', '14', nan, '31', 'Dallas_Cowboys', '3', '10', '14', '9', nan, '36']
['Philadelphia_Eagles', '12', '14', '7', '0', nan, '33', 'Washington_Redskins', '7', '0', '7', '13', nan, '27']
['Houston_Texans', '7', '0', '7', '17', nan, '31', 'San_Diego_Chargers', '7', '14', '7', '0', nan, '28']
['New_York_Jets', '3', '0', '7', '0', nan, '10', 'New_England_Patriots', '10', '3', '0', '0', nan, '13']
['Cleveland_Browns', '3', '3', '0', '0', nan, '6', 'Baltimore_Ravens', '0', '0', '7', '7', nan, '14']
['San_Diego_Chargers', '3', '10', '7', '13', nan, '33', 'Philadelphia_Eagles', '3', '7', '10', '10', nan, '30']
['Dallas_Cowboys', '10', '0', '3', '3', nan, '16', 'Kansas_City_Chiefs', '7', '0', '7', '3', nan, '17']
