['New_Orleans_Saints', '7', '7', '3', '0', nan, '17', 'Atlanta_Falcons', '7', '6', '0', '0', nan, '13']
['Chicago_Bears', '7', '7', '0', '7', nan, '21', 'St._Louis_Rams', '21', '3', '3', '15', nan, '42']
['New_York_Jets', '3', '0', '0', '0', nan, '3', 'Baltimore_Ravens', '3', '6', '10', '0', nan, '19']
['Jacksonville_Jaguars', '7', '3', '0', '3', nan, '13', 'Houston_Texans', '0', '3', '3', '0', nan, '6']
['Minnesota_Vikings', '3', '10', '7', '3', '3', '26', 'Green_Bay_Packers', '7', '0', '0', '16', '3', '26']
['Carolina_Panthers', '3', '3', '7', '7', nan, '20', 'Miami_Dolphins', '7', '9', '0', '0', nan, '16']
['San_Diego_Chargers', '3', '7', '14', '17', nan, '41', 'Kansas_City_Chiefs', '7', '7', '14', '10', nan, '38']
['Tampa_Bay_Buccaneers', '3', '14', '0', '7', nan, '24', 'Detroit_Lions', '0', '14', '7', '0', nan, '21']
['Pittsburgh_Steelers', '3', '10', '7', '7', nan, '27', 'Cleveland_Browns', '3', '0', '0', '8', nan, '11']
['Tennessee_Titans', '3', '3', '7', '10', nan, '23', 'Oakland_Raiders', '3', '6', '3', '7', nan, '19']
['Indianapolis_Colts', '3', '0', '0', '8', nan, '11', 'Arizona_Cardinals', '7', '20', '7', '6', nan, '40']
['Dallas_Cowboys', '7', '7', '7', '3', nan, '24', 'New_York_Giants', '0', '6', '7', '8', nan, '21']
['Denver_Broncos', '17', '7', '0', '7', '0', '31', 'New_England_Patriots', '0', '0', '21', '10', '3', '34']
['San_Francisco_49ers', '7', '3', '14', '3', nan, '27', 'Washington_Redskins', '0', '6', '0', '0', nan, '6']
['Green_Bay_Packers', '0', '10', '0', '0', nan, '10', 'Detroit_Lions', '0', '17', '9', '14', nan, '40']
['Oakland_Raiders', '7', '14', '0', '3', nan, '24', 'Dallas_Cowboys', '7', '7', '7', '10', nan, '31']
['Pittsburgh_Steelers', '0', '0', '7', '13', nan, '20', 'Baltimore_Ravens', '7', '3', '6', '6', nan, '22']
['Arizona_Cardinals', '0', '7', '7', '7', nan, '21', 'Philadelphia_Eagles', '7', '10', '7', '0', nan, '24']
