['Denver_Broncos', '0', '3', '0', '10', nan, '13', 'San_Diego_Chargers', '7', '3', '9', '2', nan, '21']
['Cleveland_Browns', '6', '7', '0', '13', nan, '26', 'Tennessee_Titans', '7', '7', '7', '7', nan, '28']
['Baltimore_Ravens', '10', '0', '3', '10', nan, '23', 'New_York_Giants', '0', '7', '10', '10', nan, '27']
['Cincinnati_Bengals', '0', '7', '7', '3', nan, '17', 'New_England_Patriots', '3', '7', '15', '10', nan, '35']
['Pittsburgh_Steelers', '8', '0', '0', '7', nan, '15', 'Miami_Dolphins', '3', '13', '7', '7', nan, '30']
['Los_Angeles_Rams', '7', '7', '7', '7', nan, '28', 'Detroit_Lions', '7', '7', '7', '10', nan, '31']
['Jacksonville_Jaguars', '0', '0', '0', '17', nan, '17', 'Chicago_Bears', '0', '10', '3', '3', nan, '16']
['San_Francisco_49ers', '3', '10', '0', '3', nan, '16', 'Buffalo_Bills', '7', '10', '7', '21', nan, '45']
['Carolina_Panthers', '0', '10', '7', '21', nan, '38', 'New_Orleans_Saints', '14', '10', '7', '10', nan, '41']
['Philadelphia_Eagles', '0', '14', '0', '6', nan, '20', 'Washington_Redskins', '7', '14', '3', '3', nan, '27']
['Kansas_City_Chiefs', '7', '6', '10', '3', nan, '26', 'Oakland_Raiders', '7', '3', '0', '0', nan, '10']
['Dallas_Cowboys', '7', '10', '3', '10', nan, '30', 'Green_Bay_Packers', '3', '3', '0', '10', nan, '16']
['Atlanta_Falcons', '0', '3', '21', '0', nan, '24', 'Seattle_Seahawks', '7', '10', '0', '9', nan, '26']
['Indianapolis_Colts', '3', '10', '0', '10', '0', '23', 'Houston_Texans', '0', '3', '6', '14', '3', '26']
['New_York_Jets', '0', '3', '0', '0', nan, '3', 'Arizona_Cardinals', '7', '7', '7', '7', nan, '28']
['Chicago_Bears', '0', '3', '7', '0', nan, '10', 'Green_Bay_Packers', '3', '3', '7', '13', nan, '26']
['New_York_Giants', '0', '10', '0', '7', nan, '17', 'Los_Angeles_Rams', '10', '0', '0', '0', nan, '10']
['Minnesota_Vikings', '0', '3', '0', '7', nan, '10', 'Philadelphia_Eagles', '0', '11', '7', '3', nan, '21']
['Indianapolis_Colts', '7', '10', '3', '14', nan, '34', 'Tennessee_Titans', '6', '7', '0', '13', nan, '26']
['Buffalo_Bills', '3', '7', '7', '8', nan, '25', 'Miami_Dolphins', '3', '3', '8', '14', nan, '28']
['Oakland_Raiders', '3', '17', '3', '10', nan, '33', 'Jacksonville_Jaguars', '0', '6', '3', '7', nan, '16']
['Washington_Redskins', '0', '3', '0', '14', nan, '17', 'Detroit_Lions', '0', '3', '7', '10', nan, '20']
['Cleveland_Browns', '0', '10', '7', '0', nan, '17', 'Cincinnati_Bengals', '7', '14', '10', '0', nan, '31']
['New_Orleans_Saints', '7', '0', '7', '7', nan, '21', 'Kansas_City_Chiefs', '14', '7', '3', '3', nan, '27']
['Baltimore_Ravens', '10', '6', '0', '0', nan, '16', 'New_York_Jets', '7', '7', '10', '0', nan, '24']
['San_Diego_Chargers', '7', '10', '3', '10', '3', '33', 'Atlanta_Falcons', '6', '21', '0', '3', '0', '30']
['Tampa_Bay_Buccaneers', '0', '17', '10', '7', nan, '34', 'San_Francisco_49ers', '14', '0', '0', '3', nan, '17']
