['16', '18', '24', '96', '0', '30', '179', '2', '20', '36', '234', '2', '0', '18', '35', '174', '1', '0', '2', '17', '1', '2', '217', '172', '313', '351', '2', '0', '2', '1', '0', '1', '7', '59', '7', '60', '2', '14', '8', '16', '0', '1', '1', '1', '29', '56', '30', '04']
['16', '26', '19', '52', '1', '38', '164', '2', '20', '39', '345', '2', '1', '30', '43', '307', '1', '2', '5', '46', '2', '9', '299', '298', '351', '462', '3', '2', '0', '0', '3', '2', '7', '56', '9', '69', '2', '12', '10', '19', '1', '2', '0', '0', '26', '48', '33', '12']
['21', '29', '25', '91', '0', '20', '90', '2', '18', '46', '264', '0', '1', '38', '53', '349', '2', '1', '2', '20', '0', '0', '244', '349', '335', '439', '0', '0', '1', '0', '1', '1', '9', '54', '11', '89', '5', '17', '6', '14', '2', '3', '1', '1', '30', '11', '29', '49']
['24', '18', '43', '139', '1', '19', '64', '0', '24', '35', '233', '1', '1', '21', '45', '189', '0', '1', '0', '0', '1', '5', '233', '184', '372', '248', '1', '0', '0', '0', '1', '1', '6', '60', '3', '15', '11', '20', '4', '14', '0', '1', '2', '3', '39', '10', '20', '50']
['11', '24', '23', '80', '0', '35', '175', '1', '15', '27', '146', '0', '1', '21', '32', '253', '1', '0', '4', '32', '5', '39', '114', '214', '194', '389', '2', '1', '6', '3', '2', '3', '6', '43', '6', '54', '3', '12', '9', '17', '0', '1', '0', '0', '25', '55', '34', '05']
['17', '12', '22', '66', '0', '26', '92', '2', '25', '48', '341', '1', '2', '17', '27', '130', '1', '0', '5', '40', '3', '18', '301', '112', '367', '204', '4', '2', '1', '1', '4', '1', '9', '87', '6', '45', '7', '17', '4', '16', '0', '1', '0', '0', '30', '10', '29', '50']
['29', '21', '29', '162', '2', '23', '63', '1', '23', '41', '322', '0', '3', '27', '43', '273', '2', '1', '1', '9', '3', '21', '313', '252', '475', '315', '2', '0', '1', '1', '3', '2', '5', '30', '7', '40', '4', '10', '9', '16', '0', '0', '0', '0', '30', '37', '29', '23']
['24', '20', '32', '155', '1', '25', '112', '0', '19', '29', '209', '2', '0', '21', '37', '210', '2', '1', '1', '2', '2', '14', '207', '196', '362', '308', '1', '0', '0', '0', '0', '1', '8', '75', '7', '77', '6', '11', '5', '13', '0', '0', '1', '1', '31', '45', '28', '15']
['16', '19', '24', '107', '1', '22', '128', '1', '19', '36', '217', '1', '2', '29', '35', '291', '1', '1', '1', '7', '3', '9', '210', '282', '317', '410', '2', '1', '3', '2', '3', '3', '9', '90', '8', '85', '6', '14', '4', '12', '1', '1', '0', '0', '28', '51', '31', '09']
['12', '16', '20', '64', '0', '29', '124', '0', '14', '26', '149', '0', '1', '17', '22', '211', '1', '0', '3', '9', '7', '42', '140', '169', '204', '293', '2', '0', '0', '0', '1', '0', '3', '25', '7', '74', '3', '12', '5', '13', '0', '0', '0', '0', '24', '33', '35', '27']
['12', '16', '27', '136', '1', '29', '66', '1', '11', '20', '106', '0', '0', '20', '29', '256', '1', '1', '5', '29', '2', '10', '77', '246', '213', '312', '1', '1', '3', '2', '1', '3', '7', '53', '5', '47', '2', '13', '5', '13', '0', '0', '2', '2', '29', '55', '30', '05']
['25', '29', '21', '97', '2', '35', '201', '1', '26', '36', '228', '3', '1', '28', '35', '257', '4', '0', '1', '12', '1', '8', '216', '249', '313', '450', '3', '0', '1', '1', '1', '1', '6', '50', '9', '98', '4', '8', '9', '13', '1', '1', '1', '1', '25', '43', '34', '17']
['18', '27', '25', '119', '0', '32', '89', '1', '18', '26', '275', '4', '0', '29', '40', '338', '3', '1', '2', '9', '2', '10', '266', '328', '385', '417', '1', '1', '0', '0', '1', '1', '7', '63', '5', '30', '4', '10', '11', '16', '0', '0', '0', '1', '24', '53', '35', '07']
['11', '21', '19', '92', '0', '29', '116', '2', '17', '31', '165', '0', '1', '24', '32', '230', '2', '0', '7', '39', '1', '10', '126', '220', '218', '336', '0', '0', '0', '0', '1', '0', '9', '60', '4', '24', '3', '15', '7', '13', '1', '1', '0', '1', '29', '06', '30', '54']
['23', '26', '32', '215', '2', '21', '126', '0', '18', '24', '243', '1', '0', '35', '45', '420', '3', '1', '1', '9', '4', '21', '234', '399', '449', '525', '1', '1', '1', '0', '1', '1', '6', '42', '5', '50', '9', '13', '5', '12', '0', '0', '0', '1', '30', '15', '29', '45']
['18', '28', '8', '13', '0', '23', '91', '2', '31', '48', '280', '2', '2', '34', '45', '390', '2', '0', '3', '24', '2', '7', '256', '383', '269', '474', '0', '0', '2', '1', '2', '1', '5', '41', '5', '38', '5', '12', '5', '12', '0', '0', '1', '2', '26', '35', '33', '25']
['26', '16', '45', '256', '2', '25', '93', '1', '20', '29', '217', '1', '0', '18', '29', '199', '0', '2', '1', '9', '4', '25', '208', '174', '464', '267', '2', '1', '1', '1', '1', '3', '4', '20', '6', '42', '8', '15', '4', '12', '0', '0', '0', '1', '30', '25', '29', '35']
['16', '16', '34', '157', '0', '18', '64', '0', '15', '22', '236', '1', '0', '16', '29', '121', '0', '2', '4', '14', '4', '21', '222', '100', '379', '164', '3', '0', '1', '1', '0', '3', '14', '105', '3', '20', '5', '14', '4', '11', '0', '1', '0', '0', '35', '19', '24', '41']
['17', '17', '21', '61', '0', '26', '172', '4', '29', '48', '230', '0', '3', '13', '22', '183', '2', '0', '6', '47', '1', '7', '183', '176', '244', '348', '3', '2', '2', '0', '5', '0', '8', '73', '8', '60', '4', '18', '1', '8', '0', '1', '0', '0', '36', '56', '23', '04']
['20', '36', '26', '143', '0', '23', '103', '1', '19', '27', '257', '5', '0', '32', '58', '435', '2', '2', '1', '7', '1', '0', '250', '435', '393', '538', '0', '0', '0', '0', '0', '2', '11', '77', '5', '28', '4', '10', '6', '14', '0', '0', '0', '1', '26', '01', '33', '59']
['23', '12', '33', '178', '0', '24', '92', '0', '18', '35', '194', '1', '1', '15', '21', '138', '2', '0', '4', '24', '3', '20', '170', '118', '348', '210', '0', '0', '3', '0', '1', '0', '4', '35', '5', '25', '7', '16', '4', '11', '1', '1', '0', '0', '35', '48', '24', '12']
['19', '24', '22', '83', '0', '36', '99', '0', '19', '31', '275', '2', '3', '24', '33', '358', '6', '0', '3', '38', '0', '0', '237', '358', '320', '457', '1', '1', '1', '1', '4', '1', '6', '66', '5', '40', '3', '9', '11', '17', '0', '0', '1', '1', '26', '44', '33', '16']
['24', '19', '21', '84', '0', '21', '126', '1', '31', '47', '392', '3', '0', '19', '27', '370', '5', '1', '6', '51', '1', '9', '341', '361', '425', '487', '5', '1', '3', '2', '1', '3', '10', '78', '10', '94', '5', '15', '5', '8', '0', '2', '0', '0', '36', '05', '23', '55']
['19', '15', '26', '74', '1', '30', '106', '0', '23', '38', '255', '0', '2', '17', '31', '190', '1', '2', '2', '14', '1', '9', '241', '181', '315', '287', '2', '1', '1', '0', '3', '2', '10', '76', '6', '45', '3', '12', '2', '15', '0', '1', '2', '2', '29', '05', '30', '55']
['19', '14', '28', '112', '1', '25', '75', '1', '20', '28', '187', '1', '3', '15', '29', '190', '0', '1', '2', '11', '1', '2', '176', '188', '288', '263', '0', '0', '2', '0', '3', '1', '10', '73', '13', '94', '5', '11', '2', '11', '0', '0', '0', '1', '30', '37', '29', '23']
['31', '24', '18', '64', '1', '32', '125', '1', '34', '45', '383', '3', '1', '19', '31', '225', '2', '0', '2', '7', '0', '0', '376', '225', '440', '350', '1', '1', '1', '0', '2', '0', '8', '91', '14', '98', '9', '11', '7', '12', '0', '0', '0', '0', '29', '49', '30', '11']
['22', '18', '35', '116', '2', '22', '118', '0', '24', '34', '247', '1', '0', '21', '35', '194', '1', '0', '4', '34', '7', '54', '213', '140', '329', '258', '3', '3', '0', '0', '3', '0', '6', '40', '7', '49', '7', '15', '3', '12', '0', '0', '0', '0', '34', '39', '25', '21']
['18', '22', '11', '35', '0', '34', '142', '0', '24', '39', '294', '1', '2', '30', '41', '361', '2', '1', '0', '0', '1', '3', '294', '358', '329', '500', '1', '1', '0', '0', '3', '1', '5', '34', '9', '76', '1', '7', '7', '16', '0', '0', '1', '1', '22', '57', '37', '03']
['20', '24', '18', '84', '1', '29', '130', '0', '22', '35', '245', '2', '0', '24', '38', '368', '2', '0', '1', '9', '3', '20', '236', '348', '320', '478', '0', '0', '1', '0', '0', '0', '4', '25', '4', '22', '4', '10', '10', '17', '1', '1', '0', '0', '23', '25', '36', '35']
['21', '11', '45', '214', '0', '15', '41', '0', '17', '34', '179', '2', '0', '15', '23', '153', '2', '1', '1', '5', '6', '43', '174', '110', '388', '151', '1', '1', '2', '2', '1', '3', '5', '32', '5', '35', '9', '21', '1', '9', '2', '2', '1', '2', '38', '47', '21', '13']
['16', '18', '18', '74', '1', '49', '277', '1', '25', '35', '235', '0', '1', '7', '13', '65', '0', '1', '2', '18', '2', '16', '217', '49', '291', '326', '0', '0', '1', '0', '1', '1', '3', '20', '7', '57', '5', '13', '7', '15', '0', '0', '0', '0', '27', '25', '32', '35']
['21', '23', '35', '194', '2', '15', '35', '2', '21', '26', '205', '3', '0', '32', '46', '341', '2', '1', '1', '2', '0', '0', '203', '341', '397', '376', '0', '0', '1', '1', '0', '2', '8', '97', '9', '54', '7', '14', '2', '10', '2', '2', '3', '3', '32', '28', '27', '32']
['19', '19', '42', '168', '0', '28', '114', '0', '18', '29', '254', '1', '1', '19', '27', '309', '2', '1', '3', '12', '3', '12', '242', '297', '410', '411', '4', '1', '2', '1', '2', '2', '4', '40', '6', '70', '8', '17', '6', '12', '0', '0', '0', '0', '35', '52', '28', '47']
['26', '16', '31', '183', '2', '16', '63', '0', '25', '33', '269', '2', '1', '23', '33', '227', '1', '0', '1', '5', '6', '41', '264', '186', '447', '249', '0', '0', '2', '0', '1', '0', '7', '36', '6', '30', '5', '12', '4', '12', '1', '1', '0', '1', '30', '18', '29', '42']
['15', '22', '14', '26', '0', '31', '113', '1', '20', '39', '250', '2', '2', '26', '34', '311', '3', '0', '6', '43', '4', '17', '207', '294', '233', '407', '1', '1', '3', '1', '3', '1', '5', '50', '9', '122', '4', '14', '7', '15', '0', '1', '0', '2', '23', '25', '36', '35']
['25', '16', '31', '193', '2', '21', '86', '1', '25', '39', '350', '3', '0', '25', '35', '327', '2', '0', '0', '0', '3', '5', '350', '322', '543', '408', '0', '0', '3', '2', '0', '2', '3', '20', '7', '54', '8', '16', '3', '11', '0', '0', '0', '1', '32', '45', '27', '15']
['19', '12', '30', '142', '1', '14', '61', '0', '26', '43', '260', '1', '1', '23', '35', '206', '0', '2', '0', '0', '8', '60', '260', '146', '402', '207', '0', '0', '2', '1', '1', '3', '7', '70', '5', '39', '8', '18', '2', '13', '0', '0', '1', '3', '34', '43', '25', '17']
['24', '18', '40', '271', '2', '17', '92', '0', '21', '33', '226', '3', '0', '29', '49', '235', '1', '1', '0', '0', '2', '17', '226', '218', '497', '310', '2', '0', '1', '1', '0', '2', '6', '55', '4', '30', '7', '15', '5', '14', '0', '0', '1', '2', '36', '00', '24', '00']
['19', '17', '43', '169', '3', '22', '74', '0', '13', '19', '135', '0', '0', '20', '40', '205', '1', '1', '1', '0', '4', '17', '135', '188', '304', '262', '1', '0', '0', '0', '0', '1', '7', '64', '6', '40', '3', '14', '5', '15', '2', '2', '0', '2', '32', '29', '27', '31']
['23', '14', '20', '93', '1', '32', '115', '1', '24', '53', '294', '2', '2', '13', '30', '136', '0', '2', '3', '25', '1', '3', '269', '133', '362', '248', '4', '2', '0', '0', '4', '2', '6', '40', '7', '85', '5', '16', '4', '15', '1', '1', '0', '0', '28', '04', '31', '56']
['19', '13', '30', '131', '0', '12', '27', '0', '16', '22', '213', '2', '0', '23', '36', '232', '0', '2', '4', '15', '7', '53', '198', '179', '329', '206', '2', '0', '2', '0', '0', '2', '11', '98', '5', '51', '6', '12', '3', '12', '0', '0', '0', '3', '32', '49', '27', '11']
['24', '15', '16', '74', '1', '29', '133', '3', '38', '57', '355', '1', '2', '14', '20', '173', '0', '2', '4', '14', '0', '0', '341', '173', '415', '306', '2', '1', '1', '1', '3', '3', '11', '98', '5', '45', '9', '16', '4', '10', '2', '3', '0', '0', '33', '29', '26', '31']
['19', '18', '17', '126', '1', '33', '141', '0', '26', '39', '293', '1', '1', '15', '30', '239', '1', '0', '5', '29', '2', '14', '264', '225', '390', '366', '1', '1', '1', '0', '2', '0', '9', '75', '6', '40', '6', '14', '6', '15', '0', '2', '0', '0', '29', '59', '30', '01']
['18', '19', '18', '97', '0', '31', '85', '0', '18', '33', '174', '1', '2', '22', '28', '254', '3', '0', '5', '23', '1', '9', '151', '245', '248', '330', '0', '0', '0', '0', '2', '0', '7', '50', '10', '84', '3', '11', '6', '13', '1', '1', '0', '1', '27', '05', '32', '55']
['28', '9', '46', '188', '1', '22', '57', '0', '22', '37', '263', '2', '0', '10', '20', '96', '2', '1', '2', '11', '3', '14', '252', '82', '440', '139', '2', '2', '2', '1', '2', '2', '8', '67', '4', '69', '7', '16', '2', '11', '0', '1', '1', '1', '41', '56', '18', '04']
['24', '13', '28', '87', '0', '17', '53', '0', '28', '44', '317', '2', '1', '20', '33', '189', '1', '1', '1', '7', '4', '26', '310', '163', '397', '216', '1', '1', '1', '0', '2', '1', '6', '70', '8', '61', '7', '16', '4', '13', '0', '0', '0', '1', '34', '33', '25', '27']
['26', '28', '24', '91', '1', '30', '179', '2', '24', '39', '375', '4', '1', '24', '36', '327', '3', '0', '1', '1', '1', '4', '374', '323', '465', '502', '0', '0', '1', '0', '1', '0', '3', '11', '5', '40', '5', '11', '7', '12', '3', '3', '0', '1', '26', '59', '33', '01']
['13', '13', '33', '143', '0', '20', '69', '0', '16', '30', '139', '0', '0', '20', '39', '229', '0', '1', '1', '8', '2', '18', '131', '211', '274', '280', '1', '0', '3', '1', '0', '2', '8', '59', '6', '69', '5', '17', '4', '15', '0', '0', '0', '1', '34', '24', '25', '36']
['13', '17', '23', '82', '0', '26', '93', '0', '22', '38', '229', '0', '1', '20', '30', '221', '1', '0', '8', '63', '0', '0', '166', '221', '248', '314', '0', '0', '1', '1', '1', '1', '5', '60', '9', '70', '5', '18', '4', '12', '1', '3', '0', '0', '31', '42', '28', '18']
['21', '17', '27', '144', '0', '22', '49', '0', '22', '34', '275', '1', '0', '23', '34', '250', '3', '0', '7', '47', '1', '12', '228', '238', '372', '287', '4', '1', '1', '1', '1', '1', '10', '135', '9', '60', '4', '14', '4', '13', '0', '1', '1', '2', '32', '31', '27', '29']
['23', '23', '23', '76', '0', '29', '108', '2', '29', '47', '346', '1', '2', '21', '35', '287', '2', '1', '4', '38', '0', '0', '308', '287', '384', '395', '3', '0', '1', '0', '2', '1', '5', '35', '5', '51', '3', '16', '8', '13', '3', '5', '0', '0', '33', '46', '26', '14']
